Genotype, EyeDiameter, BodyLength, NormalizedEyeDiameter
CCLL, 262.7, 3268.5, 0.08037326
CCLL, 279.2, 3235.8, 0.08628469
CCLL, 289.4, 3488.4, 0.08296067
CCLL, 305.8, 3490.2, 0.087616755
CCLL, 301.1, 3507.3, 0.085849514
CCLL, 293.7, 3424.4, 0.08576685
CCLL, 274.1, 3348, 0.081869773
CCLL, 251.2, 3263.2, 0.076979652
CCLL, 224.7, 2986.5, 0.075238574
CCLL, 302.4, 3419.9, 0.088423638
CCLL, 243.7, 3269.4, 0.074539671
CCLL, 288.9, 3381.3, 0.085440511
CCLL, 251.5, 3210.2, 0.078344028
CCLL, 257.3, 3209.4, 0.080170748
CCLL, 283.8, 3353.8, 0.084620431
CCLL, 308.5, 3488.5, 0.088433424
CCLL, 293.6, 3368.3, 0.087165633
CCLL, 298.6, 3357.4, 0.088937869
CCLL, 318.7, 3464.4, 0.091992841
CCLL, 297.2, 3617.4, 0.082158456
CCLL, 310.5, 3532.6, 0.087895601
CCLL, 293.7, 3564.8, 0.082388914
CCLL, 280.6, 3113.1, 0.090135235
CCLL, 284.7, 3233.4, 0.088049731
ccLL, 268.1, 3151.8, 0.085062504
ccLL, 292.3, 3351.1, 0.08722509
ccLL, 235.5, 3271.7, 0.071980927
ccLL, 323.3, 3503.4, 0.092281783
ccLL, 281.5, 3562.3, 0.07902198
ccLL, 300.5, 3358.7, 0.08946914
ccLL, 300.5, 3251.6, 0.092416041
ccLL, 287.7, 3436.4, 0.083721336
ccLL, 298, 3398.2, 0.087693485
ccLL, 278.7, 3227, 0.086365045
CCll, 296.5, 3533.9, 0.083901638
CCll, 254.7, 3434.3, 0.074163585
CCll, 243.7, 3209.8, 0.075923734
CCll, 291.1, 3379, 0.086149748
CCll, 212.8, 3035.8, 0.070096844
CCll, 255.2, 3024, 0.084391534
CCll, 246.2, 3207.4, 0.076759993
CCll, 297.4, 3448.5, 0.086240394
CCll, 282.4, 3370.2, 0.083793247
CCll, 294, 3457.1, 0.085042377
CCll, 270.8, 3283.1, 0.082483019
CCll, 308.8, 3341.4, 0.092416352
CCll, 315.7, 3446.8, 0.091592201
CCll, 300.2, 3567, 0.084160359
CCll, 301.5, 3449.9, 0.087393838
CCll, 289.1, 3398.3, 0.085071948
CCll, 310.1, 3498.4, 0.088640521
CCll, 319.6, 3535.8, 0.090389728
CCll, 282.5, 3487.1, 0.081012876
CCll, 289.9, 3430.2, 0.084514023
CCll, 302.2, 3488.2, 0.086634941
CCll, 300.3, 3599.7, 0.083423619
ccll, 218.5, 2966, 0.07366824
ccll, 211.1, 2977.2, 0.070905549
ccll, 181, 2816.7, 0.064259595
ccll, 254.1, 3080.7, 0.082481254
ccll, 283.9, 3456.2, 0.082142237
ccll, 253.8, 3048.4, 0.08325679
ccll, 237.3, 3222.1, 0.073647621
ccll, 197.1, 2864.9, 0.068798213
ccll, 201.1, 2885.6, 0.069690879
ccll, 280.8, 3064.5, 0.091629956
ccll, 244.3, 3097.8, 0.078862418
ccll, 289.4, 3317.1, 0.087244883
