
ID, Genotype, EyeDiam.BodyLength
1, CCLL, 0.08037326
2, CCLL, 0.08628469
3, CCLL, 0.08296067
4, CCLL, 0.087616755
5, CCLL, 0.085849514
6, CCLL, 0.08576685
7, CCLL, 0.081869773
8, CCLL, 0.076979652
9, CCLL, 0.075238574
10, CCLL, 0.088423638
11, CCLL, 0.074539671
12, CCLL, 0.085440511
13, CCLL, 0.078344028
14, CCLL, 0.080170748
15, CCLL, 0.084620431
16, CCLL, 0.088433424
17, CCLL, 0.087165633
18, CCLL, 0.088937869
19, CCLL, 0.091992841
20, CCLL, 0.082158456
21, CCLL, 0.087895601
22, CCLL, 0.082388914
23, CCLL, 0.090135235
24, CCLL, 0.088049731
25, ccll, 0.07366824
26, ccll, 0.070905549
27, ccll, 0.064259595
28, ccll, 0.082481254
29, ccll, 0.082142237
30, ccll, 0.08325679
31, ccll, 0.073647621
32, ccll, 0.068798213
33, ccll, 0.069690879
34, ccll, 0.091629956
35, ccll, 0.078862418
36, ccll, 0.087244883










